,verse,sentiment
Genesis 1:1,begin god create heavens earth,0.7096
Genesis 1:2,earth formless darkness surface deep spirit god hover water,0.2023
Genesis 1:3,god say let light light,0.2732
Genesis 1:4,god see light good separate light darkness,0.4588
Genesis 1:5,god call light day darkness call night evening morning day,0.0258
Genesis 1:6,god say let vault water separate water water,0.2732
Genesis 1:7,god vault separate water vault water,0.2732
Genesis 1:8,god call vault sky evening morning second day,0.2732
Genesis 1:9,god say let water sky gather place let dry ground appear,0.2732
Genesis 1:10,god call dry ground land gather water call sea god see good,0.7269
Genesis 1:11,god say let land produce vegetation seed bear plant tree land bear fruit seed accord kind,0.6705
Genesis 1:12,land produce vegetation plant bear seed accord kind tree bear fruit seed accord kind god see good,0.8957
Genesis 1:13,evening morning day,0.0
Genesis 1:14,god say let light vault sky separate day night let serve sign mark sacred time day year,0.2732
Genesis 1:15,let light vault sky light earth,0.0
Genesis 1:16,god great light great light govern day less light govern night star,0.8834
Genesis 1:17,god set vault sky light earth,0.2732
Genesis 1:18,govern day night separate light darkness god see good,0.4588
Genesis 1:19,evening morning fourth day,0.0
Genesis 1:20,god say let water teem live creature let bird fly earth vault sky,0.2732
Genesis 1:21,god create great creature sea live thing water teem move accord kind winged bird accord kind god see good,0.959
Genesis 1:22,god bless say fruitful increase number fill water sea let bird increase earth,0.8316
Genesis 1:23,evening morning fifth day,0.0
Genesis 1:24,god say let land produce live creature accord kind livestock creature ground wild animal accord kind,0.836
Genesis 1:25,god wild animal accord kind livestock accord kind creature ground accord kind god see good,0.946
Genesis 1:26,god say let mankind image likeness rule fish sea bird sky livestock wild animal creature ground,0.2732
Genesis 1:27,god create mankind image image god create male female create,0.8176
Genesis 1:28,god bless say fruitful increase number fill earth subdue rule fish sea bird sky live creature move ground,0.7579
Genesis 1:29,god say seed bear plant face earth tree fruit seed food,0.2732
Genesis 1:30,beast earth bird sky creature ground breath life green plant food,0.0
Genesis 1:31,god see good evening morning sixth day,0.6124
Genesis 2:1,heaven earth complete vast array,0.5106
Genesis 2:2,seventh day god finish work seventh day rest work,0.2732
Genesis 2:3,god bless seventh day holy rest work create,0.7184
Genesis 2:4,account heaven earth create lord god earth heavens,0.8481
Genesis 2:5,shrub appear eartha plant spring lord god send rain earth work ground,0.2732
Genesis 2:6,streamsb come earth water surface ground,0.0
Genesis 2:7,lord god form manc dust ground breathe nostril breath life man live,0.2732
Genesis 2:8,lord god plant garden east eden man form,0.2732
Genesis 2:9,lord god kind tree grow ground tree pleasing eye good food middle garden tree life tree knowledge good evil,0.8519
Genesis 2:10,river water garden flow eden separate headwater,0.0
Genesis 2:11,pishon wind entire land havilah gold,0.0
Genesis 2:12,gold land good aromatic resind onyx,0.4404
Genesis 2:13,second river gihon wind entire land,0.0
Genesis 2:14,river tigris run east ashur fourth river euphrates,0.0
